Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
suzanne,sah,16,k-way,1.25831,2.2137,0.56842,0.5668,0.56997,75.92606,-470.5596,1.58e-30***
teapot,sah,16,k-way,0.94397,2.27594,0.41476,0.41379,0.41563,141.10391,-779.28109,7.48e-38***
armadillo,bsah,16,collapsed,1.1604,12.47347,0.09303,0.0929,0.09316,974.92847,-2186.15402,3.75e-28***
stanford-bunny,bsah,16,collapsed,1.08191,9.30903,0.11622,0.1161,0.11635,760.42447,-2894.78515,5.06e-30***
suzanne,bsah,16,collapsed,1.31838,8.42764,0.15643,0.15623,0.15665,539.24389,-1852.1396,3.23e-28***
teapot,bsah,16,collapsed,0.97182,6.49817,0.14955,0.14932,0.14978,568.66056,-1521.22812,7.33e-27***
armadillo,median,16,collapsed,1.41897,18.45224,0.0769,0.07674,0.07703,1200.39952,-1491.56225,4.87e-26***
stanford-bunny,median,16,collapsed,1.26232,11.52132,0.10956,0.10924,0.10984,812.7121,-1580.29548,2.82e-29***
suzanne,median,16,collapsed,1.61353,11.98956,0.13458,0.13417,0.13495,643.06304,-1371.51926,8.00e-30***
teapot,median,16,collapsed,1.17302,7.83696,0.14968,0.14937,0.14999,568.09886,-1325.31679,2.78e-27***
armadillo,sah,16,collapsed,1.12994,11.77749,0.09594,0.09571,0.09616,942.31202,-2291.27069,1.06e-31***
stanford-bunny,sah,16,collapsed,1.05619,8.90724,0.11858,0.11826,0.11888,743.33779,-1750.83461,5.54e-31***
suzanne,sah,16,collapsed,1.25831,7.88948,0.15949,0.15901,0.15996,526.98975,-1150.64562,4.86e-29***
teapot,sah,16,collapsed,0.94397,6.17779,0.1528,0.15248,0.15307,554.45124,-3466.83474,2.83e-52***
