Model,Algorithm,k,type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
suzanne,sah,8,collapsed,1.40952,1.98686,0.70942,0.708,0.71097,40.96025,-307.05603,3.54e-34***
teapot,sah,8,collapsed,1.16722,1.69383,0.6891,0.68766,0.69055,45.11663,-348.82639,1.23e-35***
armadillo,bsah,16,k-way,3.51034,2.80822,1.25002,1.2473,1.25253,-20.00154,207.53758,1.62e-28***
stanford-bunny,bsah,16,k-way,2.62621,2.16473,1.21318,1.21129,1.21518,-17.57223,231.35043,4.52e-32***
suzanne,bsah,16,k-way,1.4577,1.18794,1.22708,1.22399,1.23019,-18.50583,146.8492,3.29e-27***
teapot,bsah,16,k-way,1.16952,0.99983,1.16971,1.16724,1.17211,-14.50901,141.67028,1.14e-28***
armadillo,median,16,k-way,2.44292,6.70595,0.36429,0.36381,0.36481,174.50585,-1112.88873,2.71e-29***
stanford-bunny,median,16,k-way,1.95334,5.75145,0.33963,0.33911,0.34015,194.44157,-1663.59989,3.30e-47***
suzanne,median,16,k-way,1.79731,3.30331,0.54409,0.54298,0.54515,83.79226,-565.41777,1.31e-35***
teapot,median,16,k-way,1.34331,5.02116,0.26753,0.26722,0.26778,273.79056,-1828.03765,2.43e-30***
armadillo,sah,16,k-way,3.92336,5.02517,0.78074,0.77952,0.78198,28.08319,-279.7532,9.60e-29***
stanford-bunny,sah,16,k-way,2.88409,3.70128,0.77922,0.77774,0.78073,28.3342,-246.49622,3.26e-33***
suzanne,sah,16,k-way,1.40952,1.94654,0.72411,0.72266,0.72569,38.0999,-288.57653,7.45e-34***
teapot,sah,16,k-way,1.16722,1.80991,0.6449,0.64355,0.64628,55.06175,-408.04879,3.76e-37***
armadillo,bsah,16,collapsed,3.51034,17.0168,0.20629,0.20599,0.20658,384.76241,-1405.92199,3.91e-27***
stanford-bunny,bsah,16,collapsed,2.62621,12.43857,0.21113,0.21087,0.2114,373.63206,-1647.28899,3.11e-28***
suzanne,bsah,16,collapsed,1.4577,9.88826,0.14742,0.1471,0.14775,578.3451,-1364.36164,6.64e-28***
teapot,bsah,16,collapsed,1.16952,7.72699,0.15135,0.15114,0.15158,560.69992,-2035.85671,6.27e-30***
armadillo,median,16,collapsed,2.44292,19.37393,0.12609,0.12591,0.12628,693.06562,-1436.4191,6.22e-26***
stanford-bunny,median,16,collapsed,1.95334,12.11086,0.16129,0.16101,0.16157,520.00754,-1525.04941,4.96e-28***
suzanne,median,16,collapsed,1.79731,11.99554,0.14983,0.14954,0.15012,567.41835,-1385.19588,3.29e-27***
teapot,median,16,collapsed,1.34331,7.88228,0.17042,0.17018,0.17066,486.78077,-1322.42454,1.07e-25***
armadillo,sah,16,collapsed,3.92336,17.30535,0.22671,0.22645,0.227,341.08487,-1844.57954,2.94e-30***
stanford-bunny,sah,16,collapsed,2.88409,12.72915,0.22657,0.22615,0.22703,341.35722,-1146.43742,6.02e-28***
suzanne,sah,16,collapsed,1.40952,9.73027,0.14486,0.1446,0.14515,590.32695,-1538.77166,4.18e-28***
teapot,sah,16,collapsed,1.16722,7.73432,0.15091,0.15059,0.15125,562.62843,-1261.79046,4.96e-27***
