Model,Algorithm,k,Type,k=2 Time (s),k=X Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
suzanne,sah,8,collapsed,1.17729,1.56751,0.75106,0.74993,0.75226,33.14601,-385.51453,3.19e-25***
teapot,sah,8,collapsed,0.8696,1.2324,0.70561,0.70473,0.70651,41.7211,-494.47854,2.36e-33***
armadillo,bsah,16,k-way,1.06709,10.83527,0.09848,0.09807,0.09916,915.39977,-1399.35596,6.08e-38***
stanford-bunny,bsah,16,k-way,0.99519,8.07443,0.12325,0.12272,0.12416,711.34651,-1501.14113,4.96e-47***
suzanne,bsah,16,k-way,1.23948,7.45719,0.16621,0.16546,0.16747,501.64118,-1098.56945,2.04e-43***
teapot,bsah,16,k-way,0.89416,5.66526,0.15783,0.15715,0.15899,533.5826,-1042.54354,7.07e-44***
armadillo,median,16,k-way,1.30811,13.52863,0.09669,0.09626,0.09743,934.21433,-1577.24818,3.42e-45***
stanford-bunny,median,16,k-way,1.17689,8.51956,0.13814,0.1375,0.13925,623.90654,-1200.63179,2.99e-45***
suzanne,median,16,k-way,1.51041,8.95896,0.16859,0.16781,0.16996,493.1488,-1105.01563,2.88e-36***
teapot,median,16,k-way,1.08034,5.83448,0.18517,0.18427,0.18667,440.05839,-878.67585,3.51e-42***
armadillo,sah,16,k-way,1.04174,10.7042,0.09732,0.09718,0.09747,927.52988,-1794.56071,5.02e-27***
stanford-bunny,sah,16,k-way,0.97275,8.1343,0.11959,0.1194,0.11978,736.21227,-1737.56557,1.70e-27***
suzanne,sah,16,k-way,1.17729,7.24565,0.16248,0.16221,0.16276,515.45297,-1890.557,7.05e-31***
teapot,sah,16,k-way,0.8696,5.64438,0.15406,0.1539,0.15424,549.07933,-2201.35368,1.03e-28***
armadillo,bsah,16,collapsed,1.06709,10.83166,0.09852,0.09809,0.0992,915.06147,-1246.61688,1.59e-34***
stanford-bunny,bsah,16,collapsed,0.99519,8.09031,0.12301,0.12239,0.12397,712.94188,-812.75451,2.09e-30***
suzanne,bsah,16,collapsed,1.23948,7.45145,0.16634,0.1656,0.16758,501.17808,-1227.50582,1.21e-37***
teapot,bsah,16,collapsed,0.89416,5.66311,0.15789,0.15725,0.15902,533.34137,-1279.83215,2.76e-42***
armadillo,median,16,collapsed,1.30811,13.53315,0.09666,0.09622,0.0974,934.55986,-1477.03304,9.59e-43***
stanford-bunny,median,16,collapsed,1.17689,8.52661,0.13803,0.13742,0.13912,624.50567,-1368.38728,1.86e-40***
suzanne,median,16,collapsed,1.51041,8.96168,0.16854,0.16775,0.16991,493.32934,-1071.24004,1.91e-38***
teapot,median,16,collapsed,1.08034,5.83352,0.1852,0.18434,0.18667,439.96962,-1050.03126,2.17e-32***
armadillo,sah,16,collapsed,1.04174,10.6974,0.09738,0.09722,0.09755,926.87712,-1404.69419,9.06e-26***
stanford-bunny,sah,16,collapsed,0.97275,8.1438,0.11945,0.11928,0.11962,737.18908,-2762.41712,1.06e-31***
suzanne,sah,16,collapsed,1.17729,7.25161,0.16235,0.1621,0.16261,515.95914,-2562.21129,1.52e-36***
teapot,sah,16,collapsed,0.8696,5.6447,0.15406,0.15389,0.15424,549.1159,-1970.77724,6.23e-28***
