Model,Algorithm,k,k-way Time (s),collapsed Time (s),Speedup,Speedup CI Min,Speedup CI Max,% Change,t-statistic,p-value
armadillo,bsah,4,1.2301,1.25456,0.9805,0.97829,0.98257,1.98846,-16.76635,2.39e-12***
stanford-bunny,bsah,4,1.13682,1.19746,0.94936,0.94747,0.95126,5.33435,-47.88638,4.84e-19***
suzanne,bsah,4,1.32762,1.34202,0.98927,0.98755,0.99105,1.08434,-11.42496,8.84e-09***
teapot,bsah,4,1.02956,1.07087,0.96142,0.95962,0.96326,4.01229,-38.29651,1.40e-18***
armadillo,median,4,1.52319,2.56954,0.59279,0.59158,0.59391,68.69496,-469.35344,5.56e-32***
stanford-bunny,median,4,1.3272,2.17407,0.61047,0.60938,0.61157,63.80899,-504.51771,4.48e-35***
suzanne,median,4,1.6771,1.72695,0.97113,0.96943,0.97279,2.97257,-30.9495,2.84e-16***
teapot,median,4,1.22635,1.90924,0.64232,0.64089,0.64372,55.68493,-355.6549,3.29e-30***
armadillo,sah,4,1.20789,1.19818,1.0081,1.006,1.01026,-0.80347,7.10402,1.37e-06***
stanford-bunny,sah,4,1.12321,1.14098,0.98443,0.98073,0.98733,1.58208,-8.4597,2.84e-06***
suzanne,sah,4,1.29622,1.25441,1.03333,1.03116,1.03545,-3.22523,29.24159,2.88e-16***
teapot,sah,4,1.01471,0.94651,1.07205,1.07021,1.07376,-6.72044,77.63454,4.75e-24***
armadillo,bsah,8,2.11061,1.16591,1.81027,1.80557,1.81495,-44.75958,400.33871,8.00e-30***
stanford-bunny,bsah,8,1.90104,1.11119,1.71081,1.70784,1.71382,-41.5482,605.59296,4.72e-40***
suzanne,bsah,8,2.03905,1.17369,1.73731,1.73384,1.74052,-42.43965,492.82711,1.94e-30***
teapot,bsah,8,1.60078,0.96803,1.65364,1.65047,1.65656,-39.52735,565.30121,7.42e-39***
armadillo,median,8,2.68246,3.5809,0.7491,0.74771,0.75053,33.49293,-297.06235,3.66e-34***
stanford-bunny,median,8,2.08941,3.33912,0.62574,0.62455,0.6269,59.81202,-428.98446,5.45e-30***
suzanne,median,8,2.49868,2.6782,0.93297,0.93153,0.93441,7.18475,-84.05251,2.14e-23***
teapot,median,8,1.96148,2.87597,0.68203,0.68109,0.68293,46.62187,-488.47482,3.71e-30***
armadillo,sah,8,2.06491,1.55719,1.32605,1.32349,1.32872,-24.58808,275.70019,1.10e-33***
stanford-bunny,sah,8,1.89016,1.41159,1.33903,1.33617,1.3416,-25.31923,273.70689,5.07e-34***
suzanne,sah,8,1.97018,1.62164,1.21493,1.21257,1.21724,-17.69081,186.83344,8.80e-31***
teapot,sah,8,1.56999,1.2506,1.25539,1.25331,1.25752,-20.34338,250.58165,5.62e-33***
armadillo,bsah,16,14.70008,1.15413,12.73694,12.70598,12.76869,-92.14882,1539.37903,8.26e-27***
stanford-bunny,bsah,16,10.9495,1.09334,10.01473,9.99696,10.03315,-90.01471,1855.45509,7.03e-28***
suzanne,bsah,16,9.87311,1.17965,8.36949,8.3528,8.38609,-88.05184,1437.90216,7.57e-27***
teapot,bsah,16,7.6168,0.92955,8.19405,8.17913,8.20801,-87.79602,2078.25337,6.59e-30***
armadillo,median,16,18.45224,6.1587,2.99613,2.99164,3.00083,-66.62357,1036.3242,6.80e-28***
stanford-bunny,median,16,11.52132,5.37523,2.14341,2.14088,2.14588,-53.34533,949.492,9.96e-27***
suzanne,median,16,11.98956,3.30057,3.63258,3.62635,3.63843,-72.47133,1155.65388,1.86e-28***
teapot,median,16,7.83696,4.99487,1.569,1.56679,1.57104,-36.2652,539.90996,5.69e-27***
armadillo,sah,16,14.55266,2.273,6.4024,6.39107,6.41335,-84.38087,1819.08885,2.76e-30***
stanford-bunny,sah,16,10.96794,1.91174,5.73714,5.72425,5.74869,-82.5697,1101.8499,2.91e-26***
suzanne,sah,16,9.7132,1.93401,5.02231,5.01402,5.03073,-80.08886,1428.42158,2.39e-28***
teapot,sah,16,7.60914,1.69551,4.48781,4.48037,4.49488,-77.71744,1161.01785,3.57e-26***
