file_name,model_name,model_scale,algorithm_name,cam_pos_x,cam_pos_y,cam_pos_z,cam_dir_x,cam_dir_y,cam_dir_z,time_seconds
render_times.csv,armadillo.obj,0.035,median-4,-0.0843498,1.12393,5.02467,0,0,-1,1.45338
render_times.csv,armadillo.obj,0.035,median-4,-0.952591,1.12393,4.94871,0.173648,0,-0.984808,1.46692
render_times.csv,armadillo.obj,0.035,median-4,-1.79445,1.12393,4.72313,0.34202,0,-0.939693,1.50492
render_times.csv,armadillo.obj,0.035,median-4,-2.58435,1.12393,4.35479,0.5,0,-0.866025,1.55149
render_times.csv,armadillo.obj,0.035,median-4,-3.29829,1.12393,3.85489,0.642788,0,-0.766044,1.58527
render_times.csv,armadillo.obj,0.035,median-4,-3.91457,1.12393,3.23861,0.766044,0,-0.642788,1.58665
render_times.csv,armadillo.obj,0.035,median-4,-4.41448,1.12393,2.52467,0.866025,0,-0.5,1.5658
render_times.csv,armadillo.obj,0.035,median-4,-4.78281,1.12393,1.73477,0.939693,0,-0.34202,1.5278
render_times.csv,armadillo.obj,0.035,median-4,-5.00839,1.12393,0.892909,0.984808,0,-0.173648,1.4921
render_times.csv,armadillo.obj,0.035,median-4,-5.08435,1.12393,0.0246677,1,0,-6.10623e-17,1.47979
render_times.csv,armadillo.obj,0.035,median-4,-5.00839,1.12393,-0.843573,0.984808,0,0.173648,1.51019
render_times.csv,armadillo.obj,0.035,median-4,-4.78281,1.12393,-1.68543,0.939693,0,0.34202,1.55203
render_times.csv,armadillo.obj,0.035,median-4,-4.41448,1.12393,-2.47533,0.866025,0,0.5,1.59116
render_times.csv,armadillo.obj,0.035,median-4,-3.91457,1.12393,-3.18927,0.766044,0,0.642788,1.60099
render_times.csv,armadillo.obj,0.035,median-4,-3.29829,1.12393,-3.80555,0.642788,0,0.766044,1.55822
render_times.csv,armadillo.obj,0.035,median-4,-2.58435,1.12393,-4.30546,0.5,0,0.866025,1.48857
render_times.csv,armadillo.obj,0.035,median-4,-1.79445,1.12393,-4.6738,0.34202,0,0.939693,1.42229
render_times.csv,armadillo.obj,0.035,median-4,-0.952591,1.12393,-4.89937,0.173648,0,0.984808,1.39681
render_times.csv,armadillo.obj,0.035,median-4,-0.0843498,1.12393,-4.97533,1.22125e-16,0,1,1.38365
render_times.csv,armadillo.obj,0.035,median-4,0.783891,1.12393,-4.89937,-0.173648,0,0.984808,1.39308
render_times.csv,armadillo.obj,0.035,median-4,1.62575,1.12393,-4.6738,-0.34202,0,0.939693,1.42295
render_times.csv,armadillo.obj,0.035,median-4,2.41565,1.12393,-4.30546,-0.5,0,0.866025,1.47092
render_times.csv,armadillo.obj,0.035,median-4,3.12959,1.12393,-3.80555,-0.642788,0,0.766044,1.54086
render_times.csv,armadillo.obj,0.035,median-4,3.74587,1.12393,-3.18927,-0.766044,0,0.642788,1.58375
render_times.csv,armadillo.obj,0.035,median-4,4.24578,1.12393,-2.47533,-0.866025,0,0.5,1.59535
render_times.csv,armadillo.obj,0.035,median-4,4.61411,1.12393,-1.68543,-0.939693,0,0.34202,1.5684
render_times.csv,armadillo.obj,0.035,median-4,4.83969,1.12393,-0.843573,-0.984808,0,0.173648,1.52132
render_times.csv,armadillo.obj,0.035,median-4,4.91565,1.12393,0.0246677,-1,0,1.83881e-16,1.49274
render_times.csv,armadillo.obj,0.035,median-4,4.83969,1.12393,0.892909,-0.984808,0,-0.173648,1.50086
render_times.csv,armadillo.obj,0.035,median-4,4.61411,1.12393,1.73477,-0.939693,0,-0.34202,1.53986
render_times.csv,armadillo.obj,0.035,median-4,4.24578,1.12393,2.52467,-0.866025,0,-0.5,1.57241
render_times.csv,armadillo.obj,0.035,median-4,3.74587,1.12393,3.23861,-0.766044,0,-0.642788,1.58972
render_times.csv,armadillo.obj,0.035,median-4,3.12959,1.12393,3.85489,-0.642788,0,-0.766044,1.57687
render_times.csv,armadillo.obj,0.035,median-4,2.41565,1.12393,4.35479,-0.5,0,-0.866025,1.53566
render_times.csv,armadillo.obj,0.035,median-4,1.62575,1.12393,4.72313,-0.34202,0,-0.939693,1.49329
render_times.csv,armadillo.obj,0.035,median-4,0.783891,1.12393,4.94871,-0.173648,0,-0.984808,1.45131
